dateTimeStamp,TC_gaze,TC_exposure_only
2023-09-25 13:18:19,0,1
2023-09-25 13:18:21,0,1
2023-09-25 13:18:23,0,1
2023-09-25 13:18:25,0,1
2023-09-25 13:18:27,0,1
2023-09-25 13:18:29,0,1
2023-09-25 13:18:31,0,1
2023-09-25 13:18:33,0,1
2023-09-25 13:18:35,0,1
2023-09-25 13:18:37,0,1
2023-09-25 13:18:39,0,1
2023-09-25 13:18:41,0,1
2023-09-25 13:18:43,0,1
2023-09-25 13:18:45,0,1
2023-09-25 13:18:47,0,1
2023-09-25 13:18:49,0,1
2023-09-25 13:18:51,0,1
2023-09-25 13:18:53,0,1
2023-09-25 13:18:55,0,1
2023-09-25 13:18:57,0,1
2023-09-25 13:18:59,0,1
2023-09-25 13:19:01,0,1
2023-09-25 13:19:03,0,1
2023-09-25 13:19:05,0,1
2023-09-25 13:19:07,0,1
2023-09-25 13:19:09,0,1
2023-09-25 13:19:11,0,1
2023-09-25 13:19:13,0,1
2023-09-25 13:19:15,0,1
2023-09-25 13:19:17,0,1
2023-09-25 13:19:19,0,1
2023-09-25 13:19:21,0,1
2023-09-25 13:19:23,0,1
2023-09-25 13:19:25,0,1
2023-09-25 13:19:27,0,1
2023-09-25 13:19:29,0,1
2023-09-25 13:19:31,0,1
2023-09-25 13:19:33,0,1
2023-09-25 13:19:35,0,1
2023-09-25 13:19:37,0,1
2023-09-25 13:19:39,0,1
2023-09-25 13:19:41,0,1
2023-09-25 13:19:43,0,1
2023-09-25 13:19:45,1,0
2023-09-25 13:19:47,0,1
2023-09-25 13:19:49,0,1
2023-09-25 13:19:51,0,1
2023-09-25 13:19:53,0,1
2023-09-25 13:19:55,0,1
2023-09-25 13:19:57,0,1
2023-09-25 13:19:59,0,1
2023-09-25 13:20:01,0,1
2023-09-25 13:20:03,0,1
2023-09-25 13:20:05,0,1
2023-09-25 13:20:07,0,1
2023-09-25 13:20:09,0,1
2023-09-25 13:20:11,1,0
2023-09-25 13:20:13,0,1
2023-09-25 13:20:15,0,1
2023-09-25 13:20:17,0,1
2023-09-25 13:20:19,0,1
2023-09-25 13:20:21,0,1
2023-09-25 13:20:23,0,1
2023-09-25 13:20:25,0,1
2023-09-25 13:20:27,0,1
2023-09-25 13:20:29,0,1
2023-09-25 13:20:31,0,1
2023-09-25 13:20:33,0,1
2023-09-25 13:20:35,0,1
2023-09-25 13:20:37,0,1
2023-09-25 13:20:39,0,1
2023-09-25 13:20:41,0,1
2023-09-25 13:20:43,0,1
2023-09-25 13:20:45,0,1
2023-09-25 13:20:47,0,1
2023-09-25 13:20:49,0,1
2023-09-25 13:20:51,0,1
2023-09-25 13:20:53,0,1
2023-09-25 13:20:55,0,1
2023-09-25 13:20:57,0,1
2023-09-25 13:20:59,0,1
2023-09-25 13:21:01,0,1
2023-09-25 13:21:03,0,1
2023-09-25 13:21:05,0,1
2023-09-25 13:21:07,0,1
2023-09-25 13:21:09,0,1
2023-09-25 13:21:11,0,1
2023-09-25 13:21:13,0,1
2023-09-25 13:21:15,0,1
2023-09-25 13:21:17,1,0
2023-09-25 13:21:19,0,1
2023-09-25 13:21:21,0,1
2023-09-25 13:21:23,0,1
2023-09-25 13:21:25,0,1
2023-09-25 13:21:26,0,1
2023-09-25 13:21:28,0,1
2023-09-25 13:21:30,0,1
2023-09-25 13:21:32,0,1
