date TimeStamp frameNum numFaces tcPresent phi theta sigma rot. top left bottom right tag
2023-09-25 13:38:21.987296 067623 3 1 -0.021434601 -0.1151046 0.026660606 -5.194428907734806 271 260 311 289 Gaze-det
2023-09-25 13:38:23.963337 067682 3 1 -0.018471492 -0.10683091 0.027036145 -5.572197803963795 271 260 311 289 Gaze-det
2023-09-25 13:38:25.928904 067741 3 1 7.080524e-05 -0.12203201 0.02635074 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:27.890893 067800 3 1 -0.020634456 -0.13819197 0.026120491 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:29.857870 067859 3 1 -0.020354792 -0.1383824 0.026719816 -5.194428907734806 271 260 311 289 Gaze-det
2023-09-25 13:38:31.823297 067918 3 1 -0.0129319355 -0.11471627 0.026502669 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:33.790966 067977 3 1 -0.015272663 -0.16230981 0.026716303 0.0 271 260 311 289 Gaze-det
2023-09-25 13:38:35.751844 068036 3 1 -0.023991583 -0.13533604 0.02644819 -5.194428907734806 271 260 311 289 Gaze-det
2023-09-25 13:38:37.721119 068095 3 1 -0.023775512 -0.12689437 0.026347673 -5.194428907734806 271 260 311 289 Gaze-det
2023-09-25 13:38:39.683155 068154 3 1 -0.0075845486 -0.12707312 0.027256131 -9.03948280335512 272 259 312 289 Gaze-det
2023-09-25 13:38:41.639664 068213 3 1 0.0063008266 -0.10839589 0.026882049 -3.90049374238189 272 259 312 290 Gaze-det
2023-09-25 13:38:43.615925 068272 3 1 0.019493168 -0.021096963 0.026678989 -5.194428907734806 270 259 311 289 Gaze-det
2023-09-25 13:38:45.581112 068331 3 1 -0.0018433703 -0.035630595 0.026507942 -5.194428907734806 270 259 312 289 Gaze-det
2023-09-25 13:38:47.543059 068390 3 1 0.005094169 -0.108876675 0.028284185 -5.194428907734806 271 259 311 289 Gaze-det
2023-09-25 13:38:49.509721 068449 3 1 0.02301699 -0.07044846 0.025691189 0.0 271 261 311 290 Gaze-det
2023-09-25 13:38:51.475265 068508 3 1 0.03592163 -0.05679069 0.026510663 0.0 272 261 311 290 Gaze-det
2023-09-25 13:38:53.441190 068567 3 1 0.037280742 -0.074728295 0.025894359 0.0 272 259 312 289 Gaze-det
2023-09-25 13:38:55.403170 068626 3 1 0.04692848 -0.059136335 0.025608141 0.0 271 260 312 289 Gaze-det
2023-09-25 13:38:57.372929 068685 3 1 0.012409589 -0.06530721 0.026399827 0.0 271 260 312 290 Gaze-det
2023-09-25 13:38:59.335209 068744 3 1 -0.02755166 -0.08261616 0.026224164 0.0 271 260 312 290 Gaze-det
2023-09-25 13:39:15.055821 069216 3 0 None None None None None None None Gaze-no-det
2023-09-25 13:39:01.291824 068803 3 1 0.024466975 -0.13819338 0.026644716 0.0 272 260 312 289 Gaze-det
2023-09-25 13:39:03.263617 068862 3 1 -0.017570762 -0.07549143 0.025857817 0.0 271 260 312 289 Gaze-det
2023-09-25 13:39:05.233203 068921 3 1 0.00022294871 -0.052695516 0.02557049 0.0 271 260 312 289 Gaze-det
2023-09-25 13:39:07.195205 068980 3 1 -0.012398904 -0.15732388 0.026541831 0.0 271 260 312 289 Gaze-det
2023-09-25 13:39:09.161201 069039 3 1 0.025617447 -0.04573562 0.025608104 0.0 272 259 312 289 Gaze-det
2023-09-25 13:39:11.129092 069098 3 1 -0.105421804 -0.51921415 0.06996456 0.0 272 260 312 289 Gaze-det
2023-09-25 13:39:13.093122 069157 3 1 0.83008915 -0.935552 0.18222465 5.572197803963795 282 261 319 291 Gaze-det
2023-09-25 13:39:17.021288 069275 2 1 0.029520784 -0.21256144 0.03371208 5.572197803963795 270 254 309 285 Gaze-det
2023-09-25 13:39:18.987174 069334 3 1 0.09271474 -0.13934506 0.03089205 0.0 272 253 310 284 Gaze-det
2023-09-25 13:39:20.953202 069393 3 1 0.079229996 -0.120979056 0.03250484 0.0 273 251 311 282 Gaze-det
2023-09-25 13:39:22.905474 069452 3 1 0.0981894 -0.17810033 0.03195164 0.0 274 251 312 283 Gaze-det
2023-09-25 13:39:24.874619 069511 3 1 0.042719163 -0.1773568 0.038613297 4.1849161251184155 274 251 313 282 Gaze-det
2023-09-25 13:39:26.847197 069570 3 1 0.08443828 -0.11498885 0.03176837 -4.1849161251184155 276 251 314 283 Gaze-det
2023-09-25 13:39:28.814906 069629 3 1 0.025379755 -0.12831424 0.029851977 -4.1849161251184155 276 251 313 282 Gaze-det
2023-09-25 13:39:30.779866 069688 3 1 0.10207639 -0.21771932 0.03320067 -4.1849161251184155 276 251 314 282 Gaze-det
