timestamp,orig_framenumber,timestamp_number,flash_prediction,Gold_standard,TC_Present
2023-09-25 13:01:00.080441,15235,46860,0,2,0
2023-09-25 13:01:02.077723,15265,46862,0,2,0
2023-09-25 13:01:04.071635,15295,46864,0,2,0
2023-09-25 13:01:06.069789,15325,46866,0,2,0
2023-09-25 13:01:08.063987,15355,46868,0,2,0
2023-09-25 13:01:10.061897,15385,46870,0,2,0
2023-09-25 13:01:12.055629,15415,46872,0,2,0
2023-09-25 13:01:14.057512,15445,46874,0,2,0
2023-09-25 13:01:16.052976,15475,46876,0,2,0
2023-09-25 13:01:18.049757,15505,46878,0,2,0
2023-09-25 13:01:20.043709,15535,46880,0,2,0
2023-09-25 13:01:22.041800,15565,46882,0,2,0
2023-09-25 13:01:24.035751,15595,46884,0,2,0
2023-09-25 13:01:26.033654,15625,46886,0,2,0
2023-09-25 13:01:28.027776,15655,46888,0,2,0
2023-09-25 13:01:30.025967,15685,46890,0,2,0
2023-09-25 13:01:32.019837,15715,46892,0,2,0
2023-09-25 13:01:34.017694,15745,46894,0,2,0
2023-09-25 13:01:36.015948,15775,46896,0,2,0
2023-09-25 13:01:38.014752,15805,46898,0,2,0
2023-09-25 13:01:40.007718,15835,46900,0,2,0
2023-09-25 13:01:42.006239,15865,46902,0,2,0
2023-09-25 13:01:43.999952,15895,46903,0,2,0
2023-09-25 13:01:45.997537,15925,46905,0,2,0
2023-09-25 13:01:47.991745,15955,46907,0,2,0
2023-09-25 13:01:49.990198,15985,46909,0,2,0
2023-09-25 13:01:51.984870,16015,46911,0,2,0
2023-09-25 13:01:53.981939,16045,46913,0,2,0
2023-09-25 13:01:55.979764,16075,46915,0,2,0
2023-09-25 13:01:57.977779,16105,46917,0,2,0
2023-09-25 13:01:59.972156,16135,46919,0,2,0
2023-09-25 13:02:01.969797,16165,46921,0,2,0
2023-09-25 13:02:03.964364,16195,46923,0,2,0
2023-09-25 13:02:05.962082,16225,46925,0,2,0
2023-09-25 13:02:07.951742,16255,46927,0,2,0
2023-09-25 13:02:09.797411,16297,46929,0,0,0
2023-09-25 13:02:11.762952,16356,46931,0,0,0
2023-09-25 13:02:13.728959,16415,46933,0,0,0
2023-09-25 13:02:15.694855,16474,46935,0,0,0
2023-09-25 13:02:17.661104,16533,46937,0,0,0
2023-09-25 13:02:19.623613,16592,46939,1,1,1
2023-09-25 13:02:21.589026,16651,46941,1,1,1
2023-09-25 13:02:23.545119,16710,46943,1,1,1
2023-09-25 13:02:25.510728,16769,46945,1,1,1
2023-09-25 13:02:27.483528,16828,46947,0,1,1
2023-09-25 13:02:29.453226,16887,46949,0,0,1
2023-09-25 13:02:31.416504,16946,46951,0,0,1
2023-09-25 13:02:33.380910,17005,46953,0,0,1
2023-09-25 13:02:35.347379,17064,46955,0,0,1
2023-09-25 13:02:37.313217,17123,46957,0,0,1
2023-09-25 13:02:39.275080,17182,46959,0,0,1
2023-09-25 13:02:41.241258,17241,46961,0,0,1
2023-09-25 13:02:43.196925,17300,46963,0,0,1
2023-09-25 13:02:45.163767,17359,46965,0,0,1
2023-09-25 13:02:47.135195,17418,46967,1,0,1
2023-09-25 13:02:49.105016,17477,46969,0,0,1
2023-09-25 13:02:51.067808,17536,46971,0,0,1
2023-09-25 13:02:53.033818,17595,46973,0,0,1
2023-09-25 13:02:54.995202,17654,46974,0,0,1
2023-09-25 13:02:56.965765,17713,46976,0,0,1
2023-09-25 13:02:58.926912,17772,46978,0,0,1
2023-09-25 13:03:00.893088,17831,46980,0,0,1
2023-09-25 13:03:02.848901,17890,46982,0,0,1
2023-09-25 13:03:04.814801,17949,46984,0,0,1
2023-09-25 13:03:06.788487,18008,46986,0,0,1
2023-09-25 13:03:08.757150,18067,46988,1,0,1
2023-09-25 13:03:10.718999,18126,46990,0,0,1
2023-09-25 13:03:12.684931,18185,46992,0,0,1
2023-09-25 13:03:14.647021,18244,46994,1,0,1
2023-09-25 13:03:16.617815,18303,46996,0,0,1
2023-09-25 13:03:18.579687,18362,46998,1,0,1
2023-09-25 13:03:20.545304,18421,47000,1,0,1
2023-09-25 13:03:22.503823,18480,47002,0,0,1
2023-09-25 13:03:24.477452,18539,47004,0,0,1
2023-09-25 13:03:26.439042,18598,47006,1,0,1
2023-09-25 13:03:28.405181,18657,47008,0,0,1
2023-09-25 13:03:30.370887,18716,47010,1,0,1
2023-09-25 13:03:32.338619,18775,47012,0,0,1
2023-09-25 13:03:34.299049,18834,47014,0,0,1
2023-09-25 13:03:36.269143,18893,47016,1,0,1
2023-09-25 13:03:38.231383,18952,47018,0,0,1
2023-09-25 13:03:40.197589,19011,47020,0,0,1
2023-09-25 13:03:42.149385,19070,47022,0,0,1
2023-09-25 13:03:44.129520,19129,47024,1,0,1
2023-09-25 13:03:46.091706,19188,47026,0,0,1
2023-09-25 13:03:48.061500,19247,47028,0,0,1
2023-09-25 13:03:50.023468,19306,47030,0,0,1
2023-09-25 13:03:51.996643,19365,47031,0,0,1
2023-09-25 13:03:53.955594,19424,47033,0,0,1
2023-09-25 13:03:55.921772,19483,47035,0,0,1
2023-09-25 13:03:57.883342,19542,47037,1,0,1
2023-09-25 13:03:59.851070,19601,47039,0,0,1
2023-09-25 13:04:01.805564,19660,47041,0,0,1
2023-09-25 13:04:03.771620,19719,47043,0,1,1
2023-09-25 13:04:05.743500,19778,47045,1,1,1
2023-09-25 13:04:07.713646,19837,47047,1,1,1
2023-09-25 13:04:09.676147,19896,47049,1,1,1
2023-09-25 13:04:11.642501,19955,47051,1,1,1
2023-09-25 13:04:13.603407,20014,47053,1,1,1
2023-09-25 13:04:15.573736,20073,47055,1,1,1
2023-09-25 13:04:17.535454,20132,47057,0,1,1
2023-09-25 13:04:19.501367,20191,47059,1,1,1
2023-09-25 13:04:21.457494,20250,47061,1,1,1
2023-09-25 13:04:23.423446,20309,47063,1,1,1
2023-09-25 13:04:25.395786,20368,47065,1,1,1
2023-09-25 13:04:27.361454,20427,47067,1,1,1
2023-09-25 13:04:29.327442,20486,47069,0,0,1
2023-09-25 13:04:31.293794,20545,47071,0,0,1
2023-09-25 13:04:33.255452,20604,47073,1,0,1
2023-09-25 13:04:35.226286,20663,47075,0,0,1
2023-09-25 13:04:37.187560,20722,47077,1,0,1
2023-09-25 13:04:39.153420,20781,47079,1,0,1
2023-09-25 13:04:41.105344,20840,47081,1,0,1
2023-09-25 13:04:43.075494,20899,47083,1,0,1
2023-09-25 13:04:45.047900,20957,47085,1,0,1
2023-09-25 13:04:47.014706,21016,47087,1,0,1
2023-09-25 13:04:48.979661,21075,47088,1,0,1
2023-09-25 13:04:50.945949,21134,47090,1,0,1
2023-09-25 13:04:52.907743,21193,47092,1,0,1
2023-09-25 13:04:54.877531,21252,47094,0,0,1
2023-09-25 13:04:56.841503,21311,47096,0,0,1
2023-09-25 13:04:58.806275,21370,47098,0,0,1
2023-09-25 13:05:00.756759,21429,47100,0,0,1
2023-09-25 13:05:02.732829,21488,47102,0,0,1
2023-09-25 13:05:04.699035,21547,47104,0,0,1
2023-09-25 13:05:06.664983,21606,47106,0,0,1
2023-09-25 13:05:08.627705,21665,47108,0,0,1
2023-09-25 13:05:10.593100,21724,47110,0,0,1
2023-09-25 13:05:12.559045,21783,47112,0,0,1
2023-09-25 13:05:14.525921,21842,47114,0,0,1
2023-09-25 13:05:16.487087,21901,47116,0,0,1
2023-09-25 13:05:18.457396,21960,47118,0,0,1
2023-09-25 13:05:20.410842,22019,47120,0,0,1
2023-09-25 13:05:22.375145,22078,47122,1,0,1
2023-09-25 13:05:24.351030,22137,47124,0,0,1
2023-09-25 13:05:26.317352,22196,47126,0,0,1
2023-09-25 13:05:28.278903,22255,47128,0,0,1
2023-09-25 13:05:30.245042,22314,47130,0,0,1
2023-09-25 13:05:32.211137,22373,47132,0,0,1
2023-09-25 13:05:34.177105,22432,47134,0,0,1
2023-09-25 13:05:36.138728,22491,47136,1,0,1
2023-09-25 13:05:38.108737,22550,47138,0,0,1
2023-09-25 13:05:40.061542,22609,47140,0,0,1
2023-09-25 13:05:42.037264,22668,47142,0,0,1
2023-09-25 13:05:43.999432,22727,47143,0,0,1
2023-09-25 13:05:45.969091,22786,47145,0,0,1
2023-09-25 13:05:47.931266,22845,47147,0,0,1
2023-09-25 13:05:49.896830,22904,47149,0,0,1
2023-09-25 13:05:51.862764,22963,47151,0,0,1
2023-09-25 13:05:53.828978,23022,47153,0,0,1
2023-09-25 13:05:55.796153,23081,47155,0,0,1
2023-09-25 13:05:57.760980,23140,47157,0,0,1
2023-09-25 13:05:59.717825,23199,47159,0,0,1
2023-09-25 13:06:01.689319,23258,47161,0,0,1
2023-09-25 13:06:03.650530,23317,47163,0,0,1
2023-09-25 13:06:05.621019,23376,47165,0,0,1
2023-09-25 13:06:07.582700,23435,47167,0,0,1
2023-09-25 13:06:09.548816,23494,47169,0,0,1
2023-09-25 13:06:11.515462,23553,47171,0,0,1
2023-09-25 13:06:13.481483,23612,47173,0,0,1
2023-09-25 13:06:15.444385,23671,47175,0,0,1
2023-09-25 13:06:17.409397,23730,47177,0,0,1
2023-09-25 13:06:19.365054,23789,47179,0,0,1
2023-09-25 13:06:21.330989,23848,47181,0,0,1
2023-09-25 13:06:23.303617,23907,47183,0,0,1
2023-09-25 13:06:25.273090,23966,47185,0,0,1
2023-09-25 13:06:27.234957,24025,47187,0,0,1
2023-09-25 13:06:29.201005,24084,47189,0,0,1
2023-09-25 13:06:31.163124,24143,47191,0,0,1
2023-09-25 13:06:33.134261,24202,47193,0,0,1
2023-09-25 13:06:35.094798,24261,47195,0,0,1
2023-09-25 13:06:37.061287,24320,47197,0,0,1
2023-09-25 13:06:39.018984,24379,47199,0,0,1
2023-09-25 13:06:40.984100,24438,47200,0,0,1
2023-09-25 13:06:42.960067,24497,47202,0,0,1
2023-09-25 13:06:44.925028,24556,47204,0,0,1
2023-09-25 13:06:46.887147,24615,47206,1,0,1
2023-09-25 13:06:48.853049,24674,47208,0,0,1
2023-09-25 13:06:50.815036,24733,47210,0,0,1
2023-09-25 13:06:52.785030,24792,47212,0,0,1
2023-09-25 13:06:54.747090,24851,47214,0,0,1
2023-09-25 13:06:56.713474,24910,47216,0,0,1
2023-09-25 13:06:58.669237,24969,47218,0,0,1
2023-09-25 13:07:00.644948,25028,47220,0,0,1
2023-09-25 13:07:02.606933,25087,47222,0,0,1
2023-09-25 13:07:04.573325,25146,47224,0,0,1
2023-09-25 13:07:06.539136,25205,47226,0,0,1
2023-09-25 13:07:08.505132,25264,47228,0,0,1
2023-09-25 13:07:10.466970,25323,47230,0,0,1
2023-09-25 13:07:12.436912,25382,47232,0,0,1
2023-09-25 13:07:14.400029,25441,47234,0,0,1
2023-09-25 13:07:16.365469,25500,47236,0,0,1
2023-09-25 13:07:18.317022,25559,47238,0,0,1
2023-09-25 13:07:20.287112,25618,47240,0,0,1
2023-09-25 13:07:22.258773,25677,47242,0,0,1
2023-09-25 13:07:24.225604,25736,47244,0,0,1
2023-09-25 13:07:26.191466,25795,47246,0,0,1
2023-09-25 13:07:28.157034,25854,47248,0,0,1
